@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute searchPercentage numeric
@attribute debugPercentage numeric
@attribute focusPercentage numeric
@attribute editPercentage numeric
@attribute removePercentage numeric
@attribute stuck {YES,NO}

@data
0,37.5,62.5,0,0,NO
0,29.41,44.12,20.59,5.88,NO
0,48.48,48.48,3.03,0,NO
0,42.11,57.89,0,0,NO
0,44.12,44.12,11.76,0,NO
0,8.57,28.57,48.57,14.29,NO
0,9.38,28.12,40.62,21.88,NO
0,7.32,14.63,73.17,4.88,NO
0,0,5,92.5,2.5,NO
0,0,2.78,97.22,0,YES
0,0,4.44,91.11,4.44,NO
0,0,8.33,80.56,11.11,NO
0,10.81,21.62,54.05,13.51,NO
0,0,14.29,71.43,14.29,NO
0,0,100,0,0,NO
0,4.35,8.7,86.96,0,NO
0,15.15,42.42,39.39,3.03,NO
0,26.67,63.33,10,0,NO
0,25,53.12,21.88,0,NO
0,16.22,29.73,40.54,13.51,NO
0,0,2.5,90,7.5,NO
0,19.44,36.11,44.44,0,NO
0,8.7,13.04,65.22,13.04,NO
0,0,100,0,0,NO
0,0,0,100,0,NO
0,0,5.13,89.74,5.13,NO
0,54.55,45.45,0,0,NO
0,0,12.5,87.5,0,YES
0,8.57,25.71,65.71,0,NO
0,57.14,28.57,14.29,0,NO
0,7.14,11.9,80.95,0,NO
0,35.29,38.24,23.53,2.94,NO
0,7.5,17.5,75,0,NO
0,33.33,61.11,5.56,0,NO
0,34.48,65.52,0,0,NO
0,60,40,0,0,NO
0,0,86.36,13.64,0,NO
0,22.22,77.78,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
0,2.33,2.33,95.35,0,NO
0,35.48,58.06,6.45,0,NO
0,13.89,30.56,55.56,0,NO
0,0,100,0,0,NO
0,0,25.71,51.43,22.86,NO
0,0,0,95.35,4.65,NO
0,0,2.27,93.18,4.55,NO
0,0,5.88,94.12,0,NO
0,23.08,46.15,30.77,0,NO
0,0,16.67,72.22,11.11,NO
0,0,9.76,80.49,9.76,NO
0,0,2.78,97.22,0,NO
0,0,0,93.88,6.12,NO
0,0,14.29,83.33,2.38,NO
0,0,7.5,90,2.5,NO
0,0,2.44,85.37,12.2,NO
0,0,4.76,88.1,7.14,NO
0,0,6.67,93.33,0,NO
0,0,0,100,0,NO
0,0,0,95.92,4.08,NO
0,0,17.07,80.49,2.44,NO
0,0,0,79.07,20.93,NO
0,0,2.17,89.13,8.7,NO
0,0,16.13,67.74,16.13,NO
0,0,10,76.67,13.33,NO
0,36.11,38.89,25,0,NO
0,10.81,10.81,70.27,8.11,NO
0,0,2.44,82.93,14.63,NO
0,0,2.17,97.83,0,NO
0,29.73,32.43,37.84,0,NO
0,2.63,7.89,86.84,2.63,NO
0,0,5,90,5,NO
0,7.89,7.89,71.05,13.16,NO
0,0,2.22,97.78,0,NO
0,0,0,93.75,6.25,NO
0,0,0,92.11,7.89,NO
0,0,2.08,95.83,2.08,NO
0,15,20,60,5,NO
0,0,30,70,0,NO
0,39.13,60.87,0,0,NO
0,0,100,0,0,NO
0,0,70,30,0,NO
0,0,3.03,96.97,0,NO
0,0,0,97.22,2.78,NO
0,0,6.82,93.18,0,NO
0,0,2.33,93.02,4.65,NO
0,0,2.27,95.45,2.27,NO
0,30.3,48.48,21.21,0,NO
0,0,100,0,0,NO
0,0,9.09,86.36,4.55,NO
0,2.78,27.78,63.89,5.56,NO
0,0,100,0,0,NO
0,0,3.45,96.55,0,NO
0,0,8.7,86.96,4.35,NO
0,41.67,58.33,0,0,NO
0,75,25,0,0,NO
0,0,100,0,0,NO
0,28.12,43.75,28.12,0,NO
0,0,4.88,92.68,2.44,NO
0,2.08,2.08,95.83,0,NO
0,45.16,54.84,0,0,NO
0,42.86,57.14,0,0,NO
35.71,0,64.29,0,0,NO
45,0,55,0,0,NO
59.09,0,40.91,0,0,NO
23.08,0,3.85,73.08,0,NO
8.89,0,2.22,88.89,0,NO
20.83,12.5,4.17,62.5,0,NO
17.39,39.13,39.13,4.35,0,NO
29.41,5.88,64.71,0,0,NO
29.17,20.83,50,0,0,NO
34.15,0,4.88,60.98,0,NO
27.5,0,0,72.5,0,NO
9.76,0,0,90.24,0,NO
10.71,17.86,50,21.43,0,NO
22.73,9.09,36.36,31.82,0,NO
33.33,0,66.67,0,0,NO
7.14,28.57,64.29,0,0,NO
4.26,0,0,95.74,0,NO
0,0,0,100,0,NO
3.57,7.14,25,64.29,0,NO
0,0,0,97.78,2.22,NO
3.57,14.29,10.71,71.43,0,NO
10.53,10.53,36.84,42.11,0,NO
3.03,0,12.12,84.85,0,NO
13.51,0,10.81,75.68,0,NO
4.26,0,0,93.62,2.13,NO
0,0,4.65,88.37,6.98,NO
2.38,4.76,2.38,88.1,2.38,NO
23.81,9.52,23.81,42.86,0,NO
0,0,5.26,84.21,10.53,NO
23.08,0,69.23,7.69,0,NO
6.98,0,4.65,88.37,0,NO
20,0,36,36,8,NO
7.14,25,32.14,35.71,0,NO
6.45,6.45,22.58,64.52,0,NO
0,0,0,0,0,NO
12.5,6.25,21.88,53.12,6.25,NO
10.26,5.13,17.95,66.67,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,93.48,6.52,NO
0,0,0,100,0,NO
2.44,4.88,9.76,73.17,9.76,NO
2.86,0,11.43,82.86,2.86,NO
100,0,0,0,0,NO
25,25,21.88,28.12,0,NO
20.69,6.9,10.34,62.07,0,NO
8.11,10.81,5.41,75.68,0,NO
5,5,5,80,5,NO
55,0,5,40,0,NO
2.33,0,2.33,95.35,0,NO
7.14,0,2.38,85.71,4.76,NO
4.65,0,2.33,93.02,0,NO
6.25,0,12.5,81.25,0,NO
8.33,11.11,8.33,72.22,0,NO
40,26.67,20,13.33,0,NO
12.5,25,25,37.5,0,NO
14.29,17.86,42.86,25,0,NO
75,0,25,0,0,NO
77.78,0,22.22,0,0,NO
83.87,0,12.9,3.23,0,NO
0,0,0,94.87,5.13,NO
23.08,34.62,30.77,11.54,0,NO
69.57,13.04,17.39,0,0,NO
68.42,15.79,15.79,0,0,NO
100,0,0,0,0,NO
20,0,80,0,0,NO
53.12,0,18.75,28.12,0,NO
25,0,0,59.38,15.62,NO
53.12,0,3.12,37.5,6.25,NO
63.64,0,0,33.33,3.03,NO
15,0,0,80,5,NO
27.27,12.12,9.09,51.52,0,NO
38.46,0,46.15,15.38,0,NO
5.41,0,2.7,75.68,16.22,NO
15.62,0,0,81.25,3.12,NO
21.88,0,0,68.75,9.38,NO
20.51,0,0,76.92,2.56,NO
25,0,4.55,65.91,4.55,NO
13.04,0,0,86.96,0,NO
0,0,0,100,0,NO
8.89,0,0,91.11,0,NO
29.27,0,2.44,68.29,0,NO
0,0,0,84.78,15.22,NO
13.64,0,0,86.36,0,NO
40,0,0,55,5,NO
10.26,0,5.13,84.62,0,NO
5,0,0,95,0,NO
12.2,0,0,87.8,0,NO
26.67,0,10,53.33,10,NO
14.29,8.57,17.14,60,0,NO
13.95,0,0,86.05,0,NO
32.5,7.5,5,55,0,NO
26.09,26.09,43.48,4.35,0,NO
25,25,33.33,16.67,0,NO
17.65,0,11.76,61.76,8.82,NO
6.82,0,2.27,81.82,9.09,NO
11.43,8.57,8.57,71.43,0,NO
0,0,0,100,0,NO
0,11.54,7.69,80.77,0,NO
12.5,37.5,25,25,0,NO
41.67,25,33.33,0,0,NO
0,0,0,0,0,NO
29.41,0,0,70.59,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
19.05,0,0,80.95,0,NO
11.11,0,4.44,84.44,0,NO
2.63,0,2.63,94.74,0,NO
5.26,0,0,94.74,0,NO
5,0,0,95,0,NO
13.51,0,0,86.49,0,NO
11.9,0,0,88.1,0,NO
9.09,0,0,88.64,2.27,NO
7.14,0,0,92.86,0,NO
0,0,0,100,0,NO
7.69,23.08,15.38,53.85,0,NO
25,0,75,0,0,NO
43.48,13.04,17.39,26.09,0,NO
2.44,4.88,4.88,87.8,0,NO
22.22,33.33,44.44,0,0,NO
54.55,0,0,45.45,0,NO
4.55,0,2.27,93.18,0,NO
4.65,0,0,93.02,2.33,NO
18.18,36.36,36.36,9.09,0,NO
30,25,35,10,0,NO
35.29,23.53,41.18,0,0,NO
35,20,45,0,0,NO
10.26,2.56,12.82,74.36,0,NO
23.26,0,0,76.74,0,NO
36.11,0,0,52.78,11.11,NO
17.24,27.59,34.48,20.69,0,NO
40,0,60,0,0,NO
75,0,25,0,0,NO
52.17,17.39,30.43,0,0,NO
23.53,35.29,41.18,0,0,NO
100,0,0,0,0,NO
42.11,0,0,57.89,0,NO
16.13,12.9,32.26,38.71,0,NO
51.72,0,27.59,20.69,0,NO
17.5,0,0,72.5,10,NO
14.63,0,0,85.37,0,NO
52.38,0,33.33,14.29,0,NO
0,66.67,33.33,0,0,NO
0,0,100,0,0,NO
0,50,50,0,0,NO
24.32,0,2.7,64.86,8.11,NO
3.85,0,23.08,42.31,30.77,NO
25,0,25,50,0,NO
6.9,0,10.34,82.76,0,NO
20,30,45,5,0,NO
57.69,11.54,30.77,0,0,NO
17.39,26.09,56.52,0,0,NO
0,0,100,0,0,NO
14.81,33.33,51.85,0,0,NO
0,0,6.52,93.48,0,NO
3.03,9.09,21.21,60.61,6.06,NO
7.14,17.86,39.29,35.71,0,NO
55.56,0,0,44.44,0,NO
0,0,100,0,0,NO
89.19,0,10.81,0,0,NO
93.55,0,6.45,0,0,NO
50,0,2.78,44.44,2.78,NO
17.5,0,0,72.5,10,NO
23.68,0,0,76.32,0,NO
32.35,0,0,50,17.65,NO
24.39,0,0,56.1,19.51,NO
7.5,0,0,62.5,30,NO
10.81,0,2.7,51.35,35.14,NO
5.26,0,0,92.11,2.63,NO
18.42,0,2.63,65.79,13.16,NO
24.32,0,2.7,62.16,10.81,NO
0,0,0,0,100,NO
11.63,0,0,74.42,13.95,NO
2.7,0,0,78.38,18.92,NO
25,0,50,15,10,NO
0,0,0,87.5,12.5,NO
0,0,0,88.37,11.63,NO
2.63,0,0,86.84,10.53,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,2.56,97.44,0,NO
2.27,0,0,95.45,2.27,NO
0,0,0,100,0,NO
4.55,0,0,95.45,0,NO
0,0,2.22,95.56,2.22,NO
8.82,0,0,91.18,0,NO
8.33,0,5.56,86.11,0,NO
0,0,4.55,95.45,0,NO
5.88,0,2.94,85.29,5.88,NO
10.81,0,0,89.19,0,NO
33.33,0,13.33,50,3.33,NO
0,0,0,0,0,NO
79.41,0,17.65,2.94,0,NO
32.14,0,0,67.86,0,NO
11.43,0,0,88.57,0,NO
5.26,0,0,92.11,2.63,NO
12.82,0,0,79.49,7.69,NO
53.12,0,0,43.75,3.12,NO
36.11,0,0,61.11,2.78,NO
0,0,2.22,97.78,0,NO
0,0,0,95.74,4.26,NO
0,0,2.27,97.73,0,NO
17.07,0,2.44,80.49,0,NO
32.43,0,8.11,54.05,5.41,NO
0,0,0,97.44,2.56,NO
13.79,0,0,82.76,3.45,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
4.55,0,0,90.91,4.55,NO
15.38,0,2.56,76.92,5.13,NO
7.5,0,5,87.5,0,NO
0,0,0,100,0,NO
19.05,0,7.14,71.43,2.38,NO
0,0,0,100,0,NO
0,0,4.44,95.56,0,NO
0,0,0,100,0,NO
10.53,0,2.63,84.21,2.63,NO
15.79,0,0,84.21,0,NO
0,0,0,100,0,NO
4.26,0,0,95.74,0,NO
17.14,0,2.86,80,0,NO
5.26,0,0,94.74,0,NO
15,0,2.5,82.5,0,NO
14.29,0,0,85.71,0,NO
28.21,0,7.69,64.1,0,NO
0,0,4.44,95.56,0,NO
31.71,0,2.44,63.41,2.44,NO
20.93,0,0,76.74,2.33,NO
20.45,0,0,75,4.55,NO
20,0,5,65,10,NO
20,0,10,66.67,3.33,NO
2.5,0,2.5,95,0,NO
0,0,4.44,95.56,0,NO
12.82,0,2.56,79.49,5.13,NO
0,0,0,95.74,4.26,NO
0,0,0,100,0,NO
13.16,0,7.89,78.95,0,NO
0,7.69,76.92,7.69,7.69,NO
0,17.65,82.35,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
0,12.5,37.5,25,25,NO
0,0,100,0,0,NO
0,40,30,30,0,NO
0,22.22,74.07,3.7,0,NO
0,0,5.56,88.89,5.56,NO
0,0,0,97.73,2.27,NO
0,0,0,94.74,5.26,NO
0,0,0,93.18,6.82,NO
0,0,5.41,91.89,2.7,NO
0,15,17.5,67.5,0,NO
0,0,2.22,97.78,0,NO
0,0,0,100,0,NO
0,0,0,86.67,13.33,NO
0,19.35,48.39,32.26,0,NO
0,0,0,94.74,5.26,NO
0,25,20,55,0,NO
0,11.11,77.78,11.11,0,NO
11.11,0,25,52.78,11.11,NO
0,0,6.25,93.75,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,97.96,2.04,NO
0,0,0,100,0,NO
4.26,0,2.13,85.11,8.51,NO
0,0,0,93.88,6.12,NO
0,0,0,100,0,NO
0,0,0,85.71,14.29,NO
0,0,4.44,91.11,4.44,NO
2.38,0,4.76,92.86,0,NO
0,0,4.88,82.93,12.2,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,95.83,4.17,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,11.63,88.37,0,NO
0,0,7.5,92.5,0,NO
2.33,0,0,97.67,0,NO
20,0,80,0,0,NO
0,0,100,0,0,NO
0,0,0,0,0,YES
0,0,0,0,0,NO
0,0,0,0,0,YES
0,0,0,0,0,YES
2.44,0,2.44,95.12,0,NO
0,0,17.65,82.35,0,NO
30,0,6.67,63.33,0,NO
75,0,25,0,0,NO
51.85,0,11.11,37.04,0,NO
20,0,16,64,0,NO
9.3,0,4.65,86.05,0,NO
4.17,0,2.08,93.75,0,NO
0,0,4.35,95.65,0,NO
0,0,2.17,97.83,0,NO
39.29,3.57,7.14,50,0,NO
22.73,18.18,36.36,22.73,0,NO
9.52,14.29,19.05,57.14,0,NO
0,0,0,0,0,NO
15.38,15.38,15.38,53.85,0,NO
